Country (Country),ASFIS species (ASFIS species),FAO major fishing area (FAO major fishing area),Detailed production source (Detailed production source),Unit (Unit),2022,2023
Spain,"Scorpionfishes, gurnards nei","Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0
Spain,European anchovy,"Atlantic, Northeast",Capture production,Tonnes - live weight,6964.47742980562,9440.86410367171
Spain,Clupeoids nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0836933045356372,0.0971922246220302
Spain,Atlantic herring,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0
Spain,European pilchard(=sardine),"Atlantic, Northeast",Capture production,Tonnes - live weight,4643.04412526998,4594.33151187905
Spain,Sardinellas nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0107991360691145,0.00539956803455724
Spain,European sprat,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00809935205183585,0
Spain,Albacore,"Atlantic, Northeast",Capture production,Tonnes - live weight,3320.20572354212,5702.51444924406
Spain,Bigeye tuna,"Atlantic, Northeast",Capture production,Tonnes - live weight,19.2570842332613,133.015831533477
Spain,"Marlins,Sailfishes,Etc. nei","Atlantic, Northeast",Capture production,Tonnes - live weight,0.172786177105832,0.132095032397408
Spain,Bullet tuna,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.361771058315335,1.902656587473
Spain,Atlantic bonito,"Atlantic, Northeast",Capture production,Tonnes - live weight,60.7042332613391,72.5989416846652
Spain,Blue marlin,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.251079913606911,0.0188984881209503
Spain,Little tunny(=atl.black skipj),"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0512958963282937,0.0377969762419007
Spain,Roundscale spearfish,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0
Spain,Atlantic sailfish,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0804967602591793,0.0623974082073434
Spain,Skipjack tuna,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.492462203023758,7.85997840172786
Spain,Swordfish,"Atlantic, Northeast",Capture production,Tonnes - live weight,10.0479265658747,21.8005615550756
Spain,Tunas nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.01,0.00809935205183585
Spain,Jellynose,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00269978401727862,NA
Spain,Greater amberjack,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0226997840172786,0.00539956803455724
Spain,Big-Scale sand smelt,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.267278617710583,0.221382289416847
Spain,Sand smelt,"Atlantic, Northeast",Capture production,Tonnes - live weight,2.44600431965443,3.56911447084233
Spain,Barracudas nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00809935205183585,0.00269978401727862
Spain,Blue butterfish,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0161987041036717,0.0107991360691145
Spain,Bluefish,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00539956803455724,0
Spain,"Butterfishes, pomfrets nei","Atlantic, Northeast",Capture production,Tonnes - live weight,0.00539956803455724,0.00269978401727862
Spain,Capelin,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,0
Spain,Carangids nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.170993520518359,0.454665226781858
Spain,Crevalle jack,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.126889848812095,0.0296976241900648
Spain,Garfish,"Atlantic, Northeast",Capture production,Tonnes - live weight,8.75291576673866,4.16868250539957
Spain,Mediterranean horse mackerel,"Atlantic, Northeast",Capture production,Tonnes - live weight,113.808358531317,128.236803455724
Spain,False scad,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,NA
Spain,Atlantic horse mackerel,"Atlantic, Northeast",Capture production,Tonnes - live weight,4220.99250539957,473.856090712743
Spain,Blue jack mackerel,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.988120950323974,0.19438444924406
Spain,Jack and horse mackerels nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,89.0073002159827,12.8635853131749
Spain,Leerfish,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00269978401727862,0.00809935205183585
Spain,Tapertail,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.00269978401727862
Spain,Atlantic mackerel,"Atlantic, Northeast",Capture production,Tonnes - live weight,8630.97613390929,7518.16010799136
Spain,Mackerels nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.647948164146868,0.0215982721382289
Spain,Scomber mackerels nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.0323974082073434
Spain,Pilotfish,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00539956803455724,0.00809935205183585
Spain,Atlantic pomfret,"Atlantic, Northeast",Capture production,Tonnes - live weight,6.67155507559395,19.9749676025918
Spain,Pompanos nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0134989200863931,0.0126997840172786
Spain,Pelagic percomorphs nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0
Spain,Atlantic saury,"Atlantic, Northeast",Capture production,Tonnes - live weight,56.0816198704104,1.97354211663067
Spain,Sauries nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00269978401727862,0.0188984881209503
Spain,Silversides(=Sand smelts) nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,5.87928725701944,3.65848812095032
Spain,Big-Scale pomfret,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00269978401727862,0
Spain,"Jacks, crevalles nei","Atlantic, Northeast",Capture production,Tonnes - live weight,0,NA
Spain,Dealfishes,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0
Spain,Vadigo,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.305075593952484,0.288876889848812
Spain,Atlantic chub mackerel,"Atlantic, Northeast",Capture production,Tonnes - live weight,261.430151187905,832.750194384449
Spain,European barracuda,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0
Spain,Angelshark,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,0.00269978401727862
Spain,Bathyraja rays nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.00269978401727862
Spain,Blue shark,"Atlantic, Northeast",Capture production,Tonnes - live weight,281.727753779698,281.228552915767
Spain,Sand tiger shark,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,0.00539956803455724
Spain,Dogfishes and hounds nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.00269978401727862
Spain,Picked dogfish,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00269978401727862,0.00269978401727862
Spain,Dogfish sharks nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0728941684665227,0.0863930885529158
Spain,Eagle rays nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,0
Spain,Tope shark,"Atlantic, Northeast",Capture production,Tonnes - live weight,16.22343412527,9.96399568034557
Spain,Crest-Tail catsharks nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,1.20950323974082,1.82775377969762
Spain,Gulper shark,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0215982721382289,NA
Spain,"Chimaeras, etc. nei","Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0
Spain,Sharpnose sevengill shark,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.00809935205183585
Spain,Norwegian skate,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0
Spain,Rough ray,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,NA
Spain,Common stingray,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0377969762419007,NA
Spain,Mediterranean starry ray,"Atlantic, Northeast",Capture production,Tonnes - live weight,2.70788336933045,2.44600431965443
Spain,Mako sharks,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0134989200863931,0.00539956803455724
Spain,Common eagle ray,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0512958963282937,NA
Spain,Longnose spurdog,"Atlantic, Northeast",Capture production,Tonnes - live weight,20.8612311015119,0.0296976241900648
Spain,Rays and skates nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0701943844492441,0.056695464362851
Spain,Thornback ray,"Atlantic, Northeast",Capture production,Tonnes - live weight,159.49524838013,188.06090712743
Spain,Small-Eyed ray,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.159892008639309,0.709460043196544
Spain,Arctic skate,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,NA
Spain,Blonde ray,"Atlantic, Northeast",Capture production,Tonnes - live weight,2.31371490280778,6.72246220302376
Spain,Sandy ray,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.143498920086393,1.12399568034557
Spain,Sailray,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.00269978401727862
Spain,Spotted ray,"Atlantic, Northeast",Capture production,Tonnes - live weight,16.9303455723542,21.2780993520518
Spain,Cuckoo ray,"Atlantic, Northeast",Capture production,Tonnes - live weight,93.7890496760259,96.3519222462203
Spain,Longnosed skate,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,1.43
Spain,Undulate ray,"Atlantic, Northeast",Capture production,Tonnes - live weight,2.76997840172786,3.27753779697624
Spain,Rajella kukujevi,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00539956803455724,0.00269978401727862
Spain,Requiem sharks nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.23488120950324,0.0593952483801296
Spain,Kitefin shark,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00809935205183585,NA
Spain,"Catsharks, nursehounds nei","Atlantic, Northeast",Capture production,Tonnes - live weight,9.68,0
Spain,Starry smooth-hound,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.03,NA
Spain,Smooth-Hounds nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.632699784017279,0.0207991360691145
Spain,Bramble shark,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00269978401727862,NA
Spain,Blackmouth catshark,"Atlantic, Northeast",Capture production,Tonnes - live weight,13.3126349892009,3.12095032397408
Spain,Raja rays nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,23.1699352051836,27.4813390928726
Spain,Various sharks nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00269978401727862,NA
Spain,Shortfin mako,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00269978401727862,0.0107991360691145
Spain,Smooth-Hound,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00539956803455724,0.0407991360691145
Spain,Little sleeper shark,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00809935205183585,NA
Spain,Hammerhead sharks nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,NA
Spain,"Rays, stingrays, mantas nei","Atlantic, Northeast",Capture production,Tonnes - live weight,2.06993520518359,0.0269978401727862
Spain,"Stingrays, butterfly rays nei","Atlantic, Northeast",Capture production,Tonnes - live weight,0.00269978401727862,0.00269978401727862
Spain,Small-Spotted catshark,"Atlantic, Northeast",Capture production,Tonnes - live weight,331.628272138229,293.940755939525
Spain,Nursehound,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0890928725701944,0.233282937365011
Spain,"Catsharks, etc. nei","Atlantic, Northeast",Capture production,Tonnes - live weight,0.0880993520518359,0.544686825053996
Spain,Electric rays nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00269978401727862,0
Spain,Marbled electric ray,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00809935205183585,NA
Spain,Groundfishes nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.296976241900648,0.145788336933045
Spain,Marine fishes nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0998920086393089,0
Spain,Pelagic fishes nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.035097192224622,0.218682505399568
Spain,Marine crabs nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.113390928725702,0.00809935205183585
Spain,Edible crab,"Atlantic, Northeast",Capture production,Tonnes - live weight,6.39924406047516,5.12596112311015
Spain,Green crab,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00269978401727862,0
Spain,Portunus swimcrabs nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0215982721382289,0
Spain,Chaceon geryons nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0
Spain,Geryons nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.00539956803455724
Spain,Blue-Leg swimcrab,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.124190064794816,0.0188984881209503
Spain,Maja spider crabs nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.386069114470842,0.361771058315335
Spain,Common spider crab,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,40.0755939524838
Spain,Velvet swimcrab,"Atlantic, Northeast",Capture production,Tonnes - live weight,9.9031101511879,8.59611231101512
Spain,Knobby swimcrab,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0
Spain,Spinous spider crab,"Atlantic, Northeast",Capture production,Tonnes - live weight,11.6927645788337,12.8305399568035
Spain,"Swimming crabs, etc. nei","Atlantic, Northeast",Capture production,Tonnes - live weight,9.00377969762419,9.40334773218142
Spain,Palinurid spiny lobsters nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0215982721382289,0.00269978401727862
Spain,European lobster,"Atlantic, Northeast",Capture production,Tonnes - live weight,4.30885529157667,3.92818574514039
Spain,Homarus lobsters nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.164686825053996,0.105291576673866
Spain,Slipper lobsters nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00269978401727862,0.00269978401727862
Spain,Lobsters nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0107991360691145,0.0323974082073434
Spain,Norway lobster,"Atlantic, Northeast",Capture production,Tonnes - live weight,2.31641468682505,2.9392656587473
Spain,Lesser slipper lobster,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.188984881209503,0.161987041036717
Spain,Common spiny lobster,"Atlantic, Northeast",Capture production,Tonnes - live weight,1.37419006479482,0.958423326133909
Spain,Spiny lobsters nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.0431965442764579
Spain,King crabs nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00809935205183585,0.0188984881209503
Spain,Anomuran decapods nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,1.38228941684665,0.83963282937365
Spain,Aristeid shrimps nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00539956803455724,NA
Spain,Common prawn,"Atlantic, Northeast",Capture production,Tonnes - live weight,4.47354211663067,3.97408207343413
Spain,Common shrimp,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0485961123110151,0.0323974082073434
Spain,Natantian decapods nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0323974082073434,0.0134989200863931
Spain,Deep-Water rose shrimp,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0107991360691145,0
Spain,Parrot shrimp,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00269978401727862,0
Spain,Palaemonid shrimps nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00269978401727862,0.0242980561555076
Spain,Penaeus shrimps nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0188984881209503,0
Spain,Penaeid shrimps nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.035097192224622,0.00269978401727862
Spain,Palaemon shrimps nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.035097192224622,0.0296976241900648
Spain,Marine crustaceans nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0134989200863931,0
Spain,Spottail mantis squillid,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,0.00269978401727862
Spain,Barnacle,"Atlantic, Northeast",Capture production,Tonnes - live weight,29.3655507559395,27.9994600431965
Spain,Purple dye murex,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00809935205183585,0.00539956803455724
Spain,Gastropods nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0215982721382289,0.215982721382289
Spain,Thickened nassa,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.00269978401727862
Spain,Murex,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00269978401727862,NA
Spain,Common periwinkle,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0134989200863931,0.00809935205183585
Spain,Limpet,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0701943844492441,0.0701943844492441
Spain,Whelk,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0107991360691145,0.00809935205183585
Spain,Pacific cupped oyster,"Atlantic, Northeast",Capture production,Tonnes - live weight,15.969222462203,4.89740820734341
Spain,Mediterranean mussel,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0161987041036717,0.121490280777538
Spain,Blue mussel,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.00269978401727862
Spain,Queen scallop,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00269978401727862,NA
Spain,Great atlantic scallop,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,20.1565874730022
Spain,Scallops nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0134989200863931,0.00809935205183585
Spain,Variegated scallop,"Atlantic, Northeast",Capture production,Tonnes - live weight,7.48650107991361,5.90712742980562
Spain,Japanese carpet shell,"Atlantic, Northeast",Capture production,Tonnes - live weight,3.48272138228942,2.29481641468683
Spain,Venus clams nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0458963282937365,0.0215982721382289
Spain,"Clams, etc. nei","Atlantic, Northeast",Capture production,Tonnes - live weight,0.00539956803455724,0.00269978401727862
Spain,Common edible cockle,"Atlantic, Northeast",Capture production,Tonnes - live weight,3.79589632829374,0.842332613390929
Spain,Grooved carpet shell,"Atlantic, Northeast",Capture production,Tonnes - live weight,2.61609071274298,1.6792656587473
Spain,Corneous wedge clam,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.00269978401727862
Spain,Donax clams,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.00269978401727862
Spain,Mature dosinia,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0
Spain,Sword razor shell,"Atlantic, Northeast",Capture production,Tonnes - live weight,2.78617710583153,6.31749460043197
Spain,Arched razor shell,"Atlantic, Northeast",Capture production,Tonnes - live weight,3.44762419006479,5.62904967602592
Spain,Mactra surf clams nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00809935205183585,0
Spain,Solen razor clams nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00269978401727862,0.00539956803455724
Spain,"Razor clams, knife clams nei","Atlantic, Northeast",Capture production,Tonnes - live weight,0.0377969762419007,0.0620950323974082
Spain,Striped venus,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0
Spain,Solid surf clam,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.240280777537797,0.170086393088553
Spain,Warty venus,"Atlantic, Northeast",Capture production,Tonnes - live weight,5.52645788336933,4.09017278617711
Spain,Banded carpet shell,"Atlantic, Northeast",Capture production,Tonnes - live weight,3.63120950323974,2.08423326133909
Spain,Corrugated venus,"Atlantic, Northeast",Capture production,Tonnes - live weight,5.83153347732182,5.02699784017279
Spain,Cephalopods nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.00269978401727862
Spain,Common cuttlefish,"Atlantic, Northeast",Capture production,Tonnes - live weight,67.3336501079914,145.433909287257
Spain,"Cuttlefish, bobtail squids nei","Atlantic, Northeast",Capture production,Tonnes - live weight,0.191684665226782,0.153887688984881
Spain,Elegant cuttlefish,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,0.191684665226782
Spain,Horned octopus,"Atlantic, Northeast",Capture production,Tonnes - live weight,38.3983801295896,19.3307343412527
Spain,Common octopus,"Atlantic, Northeast",Capture production,Tonnes - live weight,388.565269978402,357.798315334773
Spain,Horned and musky octopuses,"Atlantic, Northeast",Capture production,Tonnes - live weight,34.8409719222462,9.38419006479482
Spain,"Octopuses, etc. nei","Atlantic, Northeast",Capture production,Tonnes - live weight,0.00539956803455724,0.0377969762419007
Spain,Octopuses nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.00539956803455724
Spain,Flying squids nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.735053995680346,0.675399568034557
Spain,Ommastrephidae squids nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00539956803455724,0.035097192224622
Spain,European common squid,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0
Spain,Midsize squid,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0
Spain,Common squids nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,45.6857235421166,55.9297840172786
Spain,European flying squid,"Atlantic, Northeast",Capture production,Tonnes - live weight,24.7840172786177,3.54051835853132
Spain,Northern shortfin squid,"Atlantic, Northeast",Capture production,Tonnes - live weight,2131.7838012959,342.866997840173
Spain,Broadtail shortfin squid,"Atlantic, Northeast",Capture production,Tonnes - live weight,197.362742980562,312.99120950324
Spain,European squid,"Atlantic, Northeast",Capture production,Tonnes - live weight,8.54658747300216,9.44120950323974
Spain,Various squids nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.672246220302376,0.334773218142549
Spain,Inshore squids nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0
Spain,Lesser flying squid,"Atlantic, Northeast",Capture production,Tonnes - live weight,154.213974082073,9.35375809935205
Spain,Marine molluscs nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.458963282937365,0.618250539956803
Spain,Ascidiaceans nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0242980561555076,NA
Spain,Sea cucumbers nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,6.4902807775378,1.42278617710583
Spain,Royal cucumber,"Atlantic, Northeast",Capture production,Tonnes - live weight,11.7278617710583,19.1312742980562
Spain,Stony sea urchin,"Atlantic, Northeast",Capture production,Tonnes - live weight,41.695464362851,38.2883369330454
Spain,European edible sea urchin,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0107991360691145,0.035097192224622
Spain,"Sea urchins, etc. nei","Atlantic, Northeast",Capture production,Tonnes - live weight,0.00269978401727862,0.00269978401727862
Spain,Aquatic invertebrates nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.151187904967603,0.118790496760259
Spain,Scoletoma impatiens,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.116090712742981
Spain,Marine worms,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00269978401727862,0.00269978401727862
Spain,Snakelocks anemone,"Atlantic, Northeast",Capture production,Tonnes - live weight,2.28671706263499,1.63336933045356
Spain,Anthothela grandiflora,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,NA
Spain,Rocklings nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00269978401727862,0.00269978401727862
Spain,Codling,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00269978401727862,0
Spain,Spiny scorpionfish,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0
